Date,Region,Product,Revenue,Cost,Marketing
2024-01-05,North,Widget A,12000,7000,1500
2024-01-18,South,Widget B,9500,5500,1200
2024-01-22,East,Widget C,8200,4800,900
2024-01-30,West,Widget A,11000,6500,1400
2024-02-03,West,Widget A,15000,8500,2000
2024-02-14,North,Widget B,11000,6200,1400
2024-02-27,South,Widget C,7800,4200,850
2024-02-28,East,Widget A,9500,5500,1100
2024-03-08,East,Widget A,13500,7800,1700
2024-03-15,West,Widget B,10200,5900,1300
2024-03-29,North,Widget C,9100,5100,1100
2024-03-31,South,Widget A,8800,5000,1000
2024-04-04,South,Widget A,3200,2800,5800
2024-04-10,North,Widget B,3500,2500,4200
2024-04-19,East,Widget B,3800,2900,3900
2024-04-25,West,Widget C,3100,2400,4500
2024-05-07,North,Widget A,14200,8100,1800
2024-05-16,South,Widget B,10800,6000,1350
2024-05-30,East,Widget C,9500,5300,1150
2024-05-31,West,Widget A,13800,7900,1750
2024-06-10,West,Widget A,18500,10200,2400
2024-06-21,North,Widget B,13200,7500,1700
2024-06-28,South,Widget C,10100,5700,1250
2024-06-30,East,Widget A,12000,6800,1550
2024-07-05,North,Widget A,16000,9100,2100
2024-07-18,South,Widget B,12500,7000,1600
2024-07-22,East,Widget C,9800,5500,1200
2024-07-31,West,Widget B,3200,2600,5200
2024-08-01,North,Widget C,11500,6500,1450
2024-08-15,South,Widget A,9200,5200,1150
2024-08-22,East,Widget B,8500,4900,1050
2024-08-31,West,Widget A,17200,9800,2250
